epoch=01 | lr=0.00100000 | train_loss=2.4731 | val_loss=2.0700 | val_acc=0.3336 | val_macro_f1=0.3189
epoch=02 | lr=0.00100000 | train_loss=2.0027 | val_loss=1.8654 | val_acc=0.3975 | val_macro_f1=0.3899
epoch=03 | lr=0.00100000 | train_loss=1.7011 | val_loss=1.7503 | val_acc=0.4241 | val_macro_f1=0.4105
epoch=04 | lr=0.00100000 | train_loss=1.4898 | val_loss=1.7937 | val_acc=0.4496 | val_macro_f1=0.4345
epoch=05 | lr=0.00100000 | train_loss=1.3115 | val_loss=1.7874 | val_acc=0.4608 | val_macro_f1=0.4424
epoch=06 | lr=0.00100000 | train_loss=1.1764 | val_loss=1.8624 | val_acc=0.4685 | val_macro_f1=0.4484
epoch=07 | lr=0.00100000 | train_loss=1.0787 | val_loss=1.8700 | val_acc=0.4740 | val_macro_f1=0.4532
epoch=08 | lr=0.00100000 | train_loss=0.9834 | val_loss=1.9590 | val_acc=0.4768 | val_macro_f1=0.4661
epoch=09 | lr=0.00100000 | train_loss=0.8941 | val_loss=2.0122 | val_acc=0.4852 | val_macro_f1=0.4705
epoch=10 | lr=0.00100000 | train_loss=0.8177 | val_loss=2.1799 | val_acc=0.4859 | val_macro_f1=0.4678
epoch=11 | lr=0.00100000 | train_loss=0.7597 | val_loss=2.3531 | val_acc=0.4953 | val_macro_f1=0.4723
epoch=12 | lr=0.00100000 | train_loss=0.7110 | val_loss=2.4045 | val_acc=0.4914 | val_macro_f1=0.4730
epoch=13 | lr=0.00100000 | train_loss=0.6597 | val_loss=2.4325 | val_acc=0.4873 | val_macro_f1=0.4654
epoch=14 | lr=0.00050000 | train_loss=0.6217 | val_loss=2.4822 | val_acc=0.4874 | val_macro_f1=0.4669
epoch=15 | lr=0.00050000 | train_loss=0.5148 | val_loss=2.6729 | val_acc=0.4923 | val_macro_f1=0.4700
epoch=16 | lr=0.00025000 | train_loss=0.4822 | val_loss=2.8256 | val_acc=0.4929 | val_macro_f1=0.4648
epoch=17 | lr=0.00025000 | train_loss=0.4172 | val_loss=2.8254 | val_acc=0.4946 | val_macro_f1=0.4716
Early stopping at epoch 17
